hour_0_based,fcm_cluster,contiguous_period,membership_cluster_0,membership_cluster_1,membership_cluster_2,membership_cluster_3,membership_cluster_4
0,3,1,0.0072535383,0.0081865780,0.0529219818,0.9144639699,0.0171739321
1,3,1,0.0018627642,0.0020843631,0.0158404389,0.9755668159,0.0046456179
2,3,1,0.0012062892,0.0013451161,0.0121979275,0.9820682243,0.0031824429
3,3,1,0.0039822401,0.0044686802,0.0484986688,0.9317926987,0.0112577122
4,2,2,0.0177412213,0.0218414777,0.4558052154,0.4510797952,0.0535322904
5,2,2,0.0212395322,0.0270649392,0.6468973588,0.2385845054,0.0662136644
6,2,2,0.0184794815,0.0230529781,0.7621701272,0.1351590314,0.0611383818
7,2,2,0.0073983597,0.0091877296,0.9057327117,0.0482410942,0.0294401048
8,2,2,0.0119515664,0.0147106972,0.8702020809,0.0495059384,0.0536297171
9,2,2,0.0264255588,0.0308088410,0.7183983755,0.0784164476,0.1459507771
10,2,2,0.0524776401,0.0791033334,0.5223151687,0.0951767870,0.2509270708
11,2,2,0.0712109256,0.1217930127,0.4104324809,0.0887804359,0.3077831450
12,4,3,0.0504057440,0.0625704498,0.1829377801,0.0491983173,0.6548877088
13,4,3,0.0272808481,0.0277270915,0.0570088078,0.0180388897,0.8699443629
14,4,3,0.0074535836,0.0075173152,0.0098881384,0.0032731774,0.9718677854
15,4,3,0.0267105959,0.0240535721,0.0217013162,0.0077429460,0.9197915698
16,4,3,0.0779560007,0.0595071616,0.0372246546,0.0146487456,0.8106634374
17,4,3,0.1842225172,0.1331782455,0.0520690644,0.0211546848,0.6093754881
18,1,4,0.2529138335,0.3659506018,0.0752947470,0.0312013221,0.2746394956
19,1,4,0.1730112913,0.6341697396,0.0418500211,0.0198087590,0.1311601891
20,1,4,0.0839044167,0.8341296558,0.0200132439,0.0095699020,0.0523827816
21,1,4,0.0607179380,0.8909670984,0.0118681099,0.0060525880,0.0303942656
22,0,5,0.9790467329,0.0110983803,0.0018979710,0.0010163263,0.0069405896
23,0,5,0.9471435953,0.0293234833,0.0048822644,0.0027015946,0.0159490624
